province_id,Provinsi,indicator,value
6,DKI Jakarta,Jumlah Tenaga Kesehatan Psikologi Klinis,333.0
6,DKI Jakarta,Jumlah Tenaga Kesehatan Tradisional,166.0
6,DKI Jakarta,Jumlah Tenaga Keteknisan Medis,5.0
6,DKI Jakarta,Jumlah Tenaga Keterapian Fisik,2.0
6,DKI Jakarta,Jumlah Tenaga Medis,28.0
6,DKI Jakarta,Jumlah Tenaga Teknik Biomedika,8.0
6,DKI Jakarta,Tenaga Gizi,1.0
6,DKI Jakarta,Tenaga Kebidanan,7.0
6,DKI Jakarta,Tenaga Kefarmasian,13.0
6,DKI Jakarta,Tenaga Kesehatan Lingkungan,743.0
6,DKI Jakarta,Tenaga Kesehatan Masyarakat,1.0
6,DKI Jakarta,Tenaga Medis,39.0
6,DKI Jakarta,disease_burden_index,769.4433333333333
6,DKI Jakarta,facility_index,22.0
6,DKI Jakarta,insurance_coverage_index,0.2100523529411764
6,DKI Jakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,0.0195
6,DKI Jakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,0.295
6,DKI Jakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,0.6214
6,DKI Jakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.0681617647058823
6,DKI Jakarta,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.0462
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.0096
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.3428
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.0058
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,0.0050125
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,0.004025
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,0.006325
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,0.0059130434782608
6,DKI Jakarta,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,0.6365
6,DKI Jakarta,workforce_capacity_index,112.16666666666669
7,Gorontalo,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,88.0
7,Gorontalo,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,54.5
7,Gorontalo,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,1.89
7,Gorontalo,Jumlah Kasus Penyakit - Angka Penemuan TBC,77.0
7,Gorontalo,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,235.0
7,Gorontalo,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,16.58
7,Gorontalo,Jumlah Puskesmas Non Rawat Inap,71.0
7,Gorontalo,Jumlah Puskesmas Rawat Inap,24.0
7,Gorontalo,Jumlah Rumah Sakit Khusus,1.0
7,Gorontalo,Jumlah Rumah Sakit Umum,21.0
7,Gorontalo,Jumlah Tenaga Kesehatan Psikologi Klinis,3.0
7,Gorontalo,Jumlah Tenaga Kesehatan Tradisional,27.130434782608692
7,Gorontalo,Jumlah Tenaga Keteknisan Medis,238.0
7,Gorontalo,Jumlah Tenaga Keterapian Fisik,39.0
7,Gorontalo,Jumlah Tenaga Medis,750.0
7,Gorontalo,Jumlah Tenaga Teknik Biomedika,501.0
7,Gorontalo,Tenaga Gizi,579.0
