,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Kepulauan Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua Barat Daya,Papua,Papua Selatan,Papua Tengah,Papua Pegunungan
Kalimantan Selatan,0.8621175051885864,0.8181988077862381,0.9787424143692789,0.9535060873864459,0.7713498487521184,0.9064562737222741,0.8593785777805757,0.9657082980849836,0.861722838720923,0.8653919747398031,0.766020454287598,0.5804341168551409,0.6315021952816269,0.8967660729164738,0.5712235480360935,0.9196437251762911,0.8934826993526451,0.9655064832236419,0.8006704185138845,0.8971127587179172,0.7699305883143058,1.0000000000000002,0.9297849699580069,0.8524033558910546,0.883363910114824,0.9346754393283696,0.9175314377897683,0.9691785869480042,0.8413529906468453,0.8659693658328308,0.6493292865277075,0.7513641537299147,0.8430256049267341,0.901455470200235,0.7753464199854444,0.8722941039733813,0.8194867307424503,0.8599551027813047
Kalimantan Timur,0.7973212291723741,0.6398534991271327,0.9269827651334193,0.9639731628114553,0.80044257765632,0.7046210744665768,0.9259790171453606,0.9454365781089971,0.9775114537475781,0.9819952667612886,0.8599050733984561,0.3528845938497842,0.38651302135574794,0.9953854368791525,0.3835631944439517,0.9539766170891467,0.9827268433752723,0.9629209455389688,0.5564054145902037,0.8842088244021181,0.819019380838259,0.9297849699580069,1.0,0.9762636908955753,0.9628222473197556,0.9790872162800495,0.7750915247919238,0.8995114041292104,0.9617857495510179,0.980036705147458,0.7056134984038231,0.8543525287202994,0.9623970725168668,0.9944811266066419,0.8957558172008091,0.984917076821795,0.9197002597495549,0.9143566492792277
Kalimantan Utara,0.7627707398874243,0.4711711831513579,0.8727800053098904,0.9055188101054578,0.7594587656931315,0.5739313070483582,0.9106449058321723,0.8745059516126859,0.9973749138375227,0.9825285472642401,0.8273244863299535,0.1438593680952842,0.18221646128051838,0.9921938018176606,0.17803044636410517,0.8825580182597446,0.9536945209546692,0.9204617538134593,0.41260104496933225,0.8045924504175864,0.7830486525753663,0.8524033558910546,0.9762636908955753,1.0,0.9445513016354394,0.9466728463008108,0.6632694779041686,0.8402170774432732,0.9735320094962269,0.9996101231456311,0.6691067580728397,0.841966433654212,0.9466607977284112,0.993291804151453,0.8625597366941622,0.9989250436322046,0.8742937711705642,0.920046497819528
Sulawesi Utara,0.6338510933124473,0.6644483851934533,0.8356281118065034,0.9772062194822729,0.9268650171157977,0.6085172912379432,0.9923625453985545,0.9588862276645126,0.9265663832687252,0.9857272941845066,0.703969221643833,0.28733203425780274,0.3176926198874685,0.9606647270767954,0.30823798845048955,0.9628046460014852,0.9072536969463585,0.8721274087114236,0.431173621270777,0.9469919605820308,0.9400784164709917,0.883363910114824,0.9628222473197556,0.9445513016354394,1.0,0.9921362073637006,0.6417858656686483,0.7944359642171487,0.9889056750434195,0.9461380232591717,0.8662080155946944,0.9612509073062699,0.9887535192163773,0.9626521256135264,0.9614103193410882,0.9487637357623722,0.9672407816171141,0.7852136195378764
Sulawesi Tengah,0.7152481551440392,0.7128592296249069,0.8957142342969827,0.9923969465632339,0.901852555356855,0.7002113280867363,0.9787569460762381,0.9810077707829088,0.9360927513960562,0.9789393031414332,0.7439003908529743,0.36526612000905095,0.4020700276268473,0.9695838336474524,0.37953518006040715,0.9723303964455158,0.9288053728978372,0.9207068036418554,0.5378770360718708,0.9514021826675454,0.9120760139956211,0.9346754393283696,0.9790872162800495,0.9466728463008108,0.9921362073637006,1.0000000000000002,0.731148700212297,0.862147571990821,0.9744468681390218,0.9513382666155664,0.8223323654586834,0.9251299875623044,0.9737349787936861,0.9722524154231735,0.9326789829411223,0.9548799698962742,0.9489673191514595,0.8305912650256784
Sulawesi Selatan,0.9247337227771973,0.7720826234541462,0.9364481080376409,0.7713054118781549,0.4731513414354647,0.975749626119235,0.5897982296300226,0.7976459026776537,0.6988182834132137,0.6456604544832627,0.7862236295891726,0.7306803065709264,0.7783789690178265,0.725266344293845,0.7202821379017311,0.7490486799073661,0.7894369443971632,0.9027235179824855,0.9480354550507601,0.6854917182851874,0.46925437053976,0.9175314377897683,0.7750915247919238,0.6632694779041686,0.6417858656686483,0.731148700212297,0.9999999999999999,0.9541562248700721,0.5907012791724509,0.682205852522317,0.32320283603975136,0.44112467784890724,0.6084133710068549,0.7262096369493326,0.5160719827204857,0.69350871648657,0.5865089763525422,0.8202633211592991
Sulawesi Tenggara,0.9603760332770528,0.6967536364122762,0.9974318482465914,0.8701409153826835,0.6074719989223427,0.9125211932516917,0.7515886164898814,0.8799801508658993,0.8643669131420053,0.8094938221603077,0.8291512338809569,0.5255558066360551,0.5844385550007292,0.873138062290099,0.5187047018989069,0.8274896447632027,0.8887741555117203,0.9815887862716938,0.834725062334146,0.7653310309363278,0.6096700553215758,0.9691785869480042,0.8995114041292104,0.8402170774432732,0.7944359642171487,0.862147571990821,0.9541562248700721,1.0,0.7733927044712943,0.8544619168287134,0.458304880520404,0.6077454804902751,0.7577224372711205,0.8777639625463942,0.647844784546453,0.859081813668479,0.7017746942125074,0.9312517703966096
Gorontalo,0.6379074223629985,0.5495582254629079,0.8164613025183678,0.9420669329640863,0.8820428019222457,0.5345152224186122,0.9761737272936545,0.9139649249380729,0.956275372468761,0.9947308821143807,0.7231172761082352,0.1633151454319668,0.19507365276311972,0.9730989341084576,0.19180604298159587,0.9238302298721823,0.9124620329323132,0.863972210722885,0.3516904770867802,0.8889202446292364,0.9009077380891952,0.8413529906468453,0.9617857495510179,0.9735320094962269,0.9889056750434195,0.9744468681390218,0.5907012791724509,0.7733927044712943,1.0000000000000002,0.9723051396832494,0.8202406608892512,0.9427481334880454,0.9849889532335492,0.9750800184998684,0.9410193146300229,0.9721868616384753,0.9416112724458684,0.8160735579617022
Sulawesi Barat,0.7767810631571905,0.48898547529086006,0.8857252604704213,0.912512534750897,0.7619089393199006,0.5960076214964029,0.9123965802156851,0.8835796913946135,0.997894178757717,0.9821169664211433,0.8301083921691026,0.16429934629274073,0.20427351856833334,0.9938307444093941,0.19596559015490586,0.8877757012928712,0.9565433760333971,0.9301077185158856,0.43700697433642244,0.8118057815011448,0.7842811709989032,0.8659693658328308,0.980036705147458,0.9996101231456311,0.9461380232591717,0.9513382666155664,0.682205852522317,0.8544619168287134,0.9723051396832494,0.9999999999999998,0.6682243895377137,0.8398006388925193,0.9454972933221928,0.9952865892999466,0.8601069930599387,0.9994915731338924,0.8738002461824831,0.9257883890593446
Maluku,0.2076303183556959,0.6719854438793236,0.5136880046124548,0.8281448363198238,0.9832335320887537,0.37099244716539365,0.9083833319935508,0.8198458991503098,0.62227660906666,0.7846089442115671,0.3035127943100564,0.2456316450509071,0.2554166289271112,0.6953780975749307,0.24834144802699207,0.8252641447091513,0.6017144630364705,0.5415085665318911,0.18569224850780974,0.9096422103156551,0.9829145898723898,0.6493292865277075,0.7056134984038231,0.6691067580728397,0.8662080155946944,0.8223323654586834,0.32320283603975136,0.458304880520404,0.8202406608892512,0.6682243895377137,0.9999999999999999,0.9624699853433379,0.8432116534778527,0.6993003603751728,0.9095818528428293,0.6708610438601538,0.888236754713607,0.3726908810174821
Maluku Utara,0.39917493562524176,0.6266014774474237,0.6615864482159781,0.9113604379991712,0.976491633958481,0.4367332982701924,0.9780005529504806,0.8904616722515157,0.8060205298389851,0.920031355999313,0.5172513353894926,0.20136685712717411,0.2181437193252633,0.8558143994987545,0.2214098186996745,0.906402829304152,0.7750052341298513,0.7054346105157357,0.24162628044619136,0.9337454581442295,0.9872949326928424,0.7513641537299147,0.8543525287202994,0.841966433654212,0.9612509073062699,0.9251299875623044,0.44112467784890724,0.6077454804902751,0.9427481334880454,0.8398006388925193,0.9624699853433379,0.9999999999999999,0.9519069809613536,0.8579500573379316,0.9729129055549677,0.8415919825566455,0.9587608863865463,0.5895318042812374
Papua Barat,0.603567918648525,0.6201396525556675,0.80137048160153,0.9559916375838213,0.8928317023461214,0.5502485920150726,0.9687653817378666,0.9290903233862906,0.9302790053425884,0.9896018040397331,0.7537123716672938,0.2744225584962056,0.291252198898484,0.9638054250782018,0.31519816139054374,0.9634366488170201,0.9289365372551304,0.8557106453961013,0.37195950043445714,0.9198681937950445,0.914053709421809,0.8430256049267341,0.9623970725168668,0.9466607977284112,0.9887535192163773,0.9737349787936861,0.6084133710068549,0.7577224372711205,0.9849889532335492,0.9454972933221928,0.8432116534778527,0.9519069809613536,1.0000000000000002,0.9610809769585354,0.9792130734715426,0.9506633006805542,0.9832070013439143,0.7830644503912421
